64.78.149.164 - - [23/Oct/2018:10:14:41 +0200] "GET /.well-known/acme-challenge/eVEUN34uDBSqCtFcQPwS8nH1bQfFcvOR6UKNYDfxdVA HTTP/1.1" 200 334 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
38.130.165.23 - - [24/Oct/2018:00:48:22 +0200] "GET / HTTP/1.1" 200 3867 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
88.15.95.180 - - [25/Oct/2018:20:25:08 +0200] "GET / HTTP/1.1" 301 467 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
88.15.95.180 - - [25/Oct/2018:20:25:08 +0200] "GET / HTTP/2.0" 500 2835 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
88.15.95.180 - - [25/Oct/2018:20:25:09 +0200] "GET /favicon.ico HTTP/2.0" 500 2835 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
88.15.95.180 - - [25/Oct/2018:20:25:37 +0200] "GET / HTTP/2.0" 200 455 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
88.15.95.180 - - [25/Oct/2018:20:25:37 +0200] "GET /favicon.ico HTTP/2.0" 200 438 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
88.15.95.180 - - [25/Oct/2018:20:32:28 +0200] "GET / HTTP/2.0" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
88.15.95.180 - - [25/Oct/2018:20:32:28 +0200] "GET /favicon.ico HTTP/2.0" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
88.15.95.180 - - [25/Oct/2018:20:32:30 +0200] "GET / HTTP/2.0" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
88.15.95.180 - - [25/Oct/2018:20:32:30 +0200] "GET /favicon.ico HTTP/2.0" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
88.15.95.180 - - [25/Oct/2018:20:32:38 +0200] "GET / HTTP/2.0" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
88.15.95.180 - - [25/Oct/2018:20:32:38 +0200] "GET /favicon.ico HTTP/2.0" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
88.15.95.180 - - [25/Oct/2018:20:32:49 +0200] "GET / HTTP/2.0" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
88.15.95.180 - - [25/Oct/2018:20:32:49 +0200] "GET /favicon.ico HTTP/2.0" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
88.15.95.180 - - [25/Oct/2018:20:33:05 +0200] "GET / HTTP/1.1" 301 467 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
88.15.95.180 - - [25/Oct/2018:20:33:05 +0200] "GET / HTTP/2.0" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
88.15.95.180 - - [26/Oct/2018:15:06:43 +0200] "GET / HTTP/2.0" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
88.15.95.180 - - [26/Oct/2018:15:06:43 +0200] "GET /favicon.ico HTTP/2.0" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
88.15.95.180 - - [26/Oct/2018:15:06:44 +0200] "GET / HTTP/2.0" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
88.15.95.180 - - [26/Oct/2018:15:06:44 +0200] "GET /favicon.ico HTTP/2.0" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
88.15.95.180 - - [26/Oct/2018:15:06:51 +0200] "GET / HTTP/2.0" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
88.15.95.180 - - [26/Oct/2018:15:06:51 +0200] "GET /favicon.ico HTTP/2.0" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
88.15.95.180 - - [26/Oct/2018:15:07:35 +0200] "GET / HTTP/2.0" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
88.15.95.180 - - [26/Oct/2018:15:07:35 +0200] "GET /favicon.ico HTTP/2.0" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
88.15.95.180 - - [26/Oct/2018:15:08:17 +0200] "GET / HTTP/2.0" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
88.15.95.180 - - [26/Oct/2018:15:08:17 +0200] "GET /favicon.ico HTTP/2.0" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
88.15.95.180 - - [26/Oct/2018:15:08:18 +0200] "GET / HTTP/2.0" 500 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:64.0) Gecko/20100101 Firefox/64.0"
